_id,name,startTime,endTime,photos
65f1d3cf9b8cf165e63d4650,以教育之强   夯实国家富强之基——学习贯彻习近平新时代中国,2023-07-05,2023-07-05,http://www.cfls.net.cn/site/219/news/c8005993d29349e78b0a4a0035301755.png
65f1d5219b8cf165e63d4657,关于2024年度“四川省两红两优” 拟推报对象公示,2023-07-05,2023-07-05,http://www.cfls.net.cn/site/219/news/2c46a239fa364af6950d1c833ed7a044.jpg
